order_id,customer_email,customer_phone,customer_id,total_amount,currency,payment_status,payment_method,amount_paid,transaction_id,paid_at,event_time,refund_amount,refund_reason,refunded_at,tracking_code,carrier,shipment_status,region,shipping_address_line1,shipping_address_city,shipping_address_country,items,event_id,event_type,processed_at,event_date,is_paid,is_refunded,is_delivered,is_completed,is_cancelled,is_pending
ORD-000001,user677@pulse.africa,+2348026726926,,57700.0,NGN,,,,,,2026-02-17 00:16:32.832000+00:00,,,,,,,,77 GRA Rd,Kano,NG,"[{""quantity"": 3, ""sku"": ""SKU-0155"", ""unit_price"": 9000}, {""quantity"": 3, ""sku"": ""SKU-0098"", ""unit_price"": 6700}, {""quantity"": 1, ""sku"": ""SKU-0065"", ""unit_price"": 2500}, {""quantity"": 3, ""sku"": ""SKU-0000"", ""unit_price"": 2700}]",c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
ORD-000002,user623@pulse.africa,+2348087844239,CUST-00562,102300.0,NGN,,,,,,2026-02-17 00:16:32.860000+00:00,,,,,,,,83 Wuse Rd,Kaduna,NG,"[{""quantity"": 1, ""sku"": ""SKU-0141"", ""unit_price"": 4200}, {""quantity"": 3, ""sku"": ""SKU-0107"", ""unit_price"": 26000}, {""quantity"": 3, ""sku"": ""SKU-0173"", ""unit_price"": 6700}]",65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
,,+2348073771720,,20100.0,NGN,,,,,,2026-02-17 00:16:32.870000+00:00,,,,,,,PH,197 Alausa Rd,PH,NG,"[{""price"": 2700, ""qty"": 3, ""sku"": ""SKU-0203""}, {""price"": 3000, ""qty"": 1, ""sku"": ""SKU-0168""}, {""price"": 2000, ""qty"": 3, ""sku"": ""SKU-0131""}, {""price"": 3000, ""qty"": 1, ""sku"": ""SKU-0023""}]",dd334d53f47d605eeb89f7b252558ad505f6d72fc6377573dacd77d3e8485066,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
,user935@mail.com,+2348099600766,,72700.0,NGN,,,,,,2026-02-17 00:16:32.872000+00:00,,,,,,,Kaduna,,,,"[{""price"": 12200, ""qty"": 1, ""sku"": ""SKU-0102""}, {""price"": 9000, ""qty"": 3, ""sku"": ""SKU-0167""}, {""price"": 7500, ""qty"": 1, ""sku"": ""SKU-0192""}, {""price"": 26000, ""qty"": 1, ""sku"": ""SKU-0056""}]",0b4145a54ca9ff05da825b3a672a7bf6b62b96177307290262bea80b1c5181be,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
ORD-000005,user901@example.com,+2348041473195,CUST-00642,114400.0,NGN,,,,,,2026-02-17 00:16:32.873000+00:00,,,,,,,,,,,"[{""quantity"": 3, ""sku"": ""SKU-0212"", ""unit_price"": 13000}, {""quantity"": 3, ""sku"": ""SKU-0040"", ""unit_price"": 10000}, {""quantity"": 2, ""sku"": ""SKU-0115"", ""unit_price"": 18200}, {""quantity"": 3, ""sku"": ""SKU-0215"", ""unit_price"": 3000}]",6953b7cb3aae10e133695ec5b25584585eeff7ed4bec09eae6b3ebed36ee7c43,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
ORD-000006,user798@example.com,+2348087267850,CUST-00212,63000.0,NGN,,,,,,2026-02-17 00:16:32.875000+00:00,,,,,,,Kaduna,,,,"[{""price"": 12000, ""qty"": 1, ""sku"": ""SKU-0180""}, {""price"": 25500, ""qty"": 2, ""sku"": ""SKU-0106""}]",3736176902e47794259f116f51c2ab178a39f09ed73cc306637d27cd497f4c47,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
ORD-000007,user56@example.com,+2348028213276,CUST-00607,63.79,USD,,,,,,2026-02-17 00:16:32.876000+00:00,,,,,,,,47 Alausa Rd,Kaduna,NG,"[{""quantity"": 3, ""sku"": ""SKU-0191"", ""unit_price"": 1700}, {""quantity"": 1, ""sku"": ""SKU-0124"", ""unit_price"": 3000}, {""quantity"": 2, ""sku"": ""SKU-0111"", ""unit_price"": 18000}, {""quantity"": 2, ""sku"": ""SKU-0099"", ""unit_price"": 3500}, {""quantity"": 1, ""sku"": ""SKU-0185"", ""unit_price"": 3500}]",1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
ORD-000008,user141@example.com,+2348043189803,CUST-00359,42500.0,NGN,,,,,,2026-02-17 00:16:32.878000+00:00,,,,,,,,,,,"[{""quantity"": 2, ""sku"": ""SKU-0086"", ""unit_price"": 4500}, {""quantity"": 2, ""sku"": ""SKU-0192"", ""unit_price"": 7000}, {""quantity"": 1, ""sku"": ""SKU-0213"", ""unit_price"": 19000}]",c430ff46150746adf1e3e484ebe2b46e6dc8dab3ffdab45f14657901a47b3648,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
ORD-000009,user1186@example.com,+2348087282128,"{""email"": ""user1186@example.com"", ""id"": null, ""phone"": ""+2348087282128""}",116100.0,NGN,,,,,,2026-02-17 00:16:32.879000+00:00,,,,,,,Abuja,246 Wuse Rd,Abuja,NG,"[{""price"": 4200, ""qty"": 1, ""sku"": ""SKU-0171""}, {""price"": 25500, ""qty"": 3, ""sku"": ""SKU-0119""}, {""price"": 4200, ""qty"": 2, ""sku"": ""SKU-0196""}, {""price"": 9000, ""qty"": 3, ""sku"": ""SKU-0155""}]",68e60438e9790a7c7d95e2d636874cd012d1979030274fa1f54f0a7facbd1e15,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
,user26@shop.ng,+2348024165187,,146100.0,NGN,,,,,,2026-02-17 00:16:32.881000+00:00,,,,,,,Lagos,,,,"[{""price"": 25200, ""productSku"": ""SKU-0176"", ""qty"": 3}, {""price"": 7000, ""productSku"": ""SKU-0026"", ""qty"": 3}, {""price"": 9000, ""productSku"": ""SKU-0217"", ""qty"": 3}, {""price"": 2500, ""productSku"": ""SKU-0203"", ""qty"": 3}, {""price"": 5000, ""productSku"": ""SKU-0088"", ""qty"": 3}]",c08094987a0246ab87d29db98e85f20c809434bcf1eacf1b02400dc4a26e928e,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
,user435@pulse.africa,+2348055679506,CUST-00333,153900.0,NGN,,,,,,2026-02-17 00:16:32.882000+00:00,,,,,,,Kano,,,,"[{""price"": 26000, ""qty"": 3, ""sku"": ""SKU-0206""}, {""price"": 25500, ""qty"": 2, ""sku"": ""SKU-0119""}, {""price"": 6500, ""qty"": 1, ""sku"": ""SKU-0082""}, {""price"": 1700, ""qty"": 2, ""sku"": ""SKU-0071""}, {""price"": 7500, ""qty"": 2, ""sku"": ""SKU-0192""}]",f6db1a9edd59e44c6ed873a2d89e16515cf55153af5708b06f2b345ef7ce9dbb,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
ORD-000012,user1134@pulse.africa,+2348083871890,CUST-00596,69600.0,NGN,,,,,,2026-02-17 00:16:32.884000+00:00,,,,,,,Abuja,,,,"[{""price"": 1700, ""qty"": 3, ""sku"": ""SKU-0125""}, {""price"": 26000, ""qty"": 2, ""sku"": ""SKU-0176""}, {""price"": 2500, ""qty"": 1, ""sku"": ""SKU-0114""}, {""price"": 10000, ""qty"": 1, ""sku"": ""SKU-0075""}]",33236c3c8a47e9bb9c605b31bf0a304b9b4e97bae4ec3b90db2c5655cae001b0,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
ORD-000013,user580@example.com,+2348049761527,CUST-00779,28200.0,NGN,,,,,,2026-02-17 00:16:32.886000+00:00,,,,,,,,,,,"[{""quantity"": 1, ""sku"": ""SKU-0080"", ""unit_price"": 1700}, {""quantity"": 1, ""sku"": ""SKU-0049"", ""unit_price"": 26000}]",bb98e2a0c9d1ca793246b5bc9fe1467f901aa6eeecd2f792d604347d208bdee7,historical_order,2026-02-20 18:16:03.448172+00:00,2026-02-17,False,False,False,False,False,False
